Keyword,Count,Mean Engagement Ratio,Standard Deviation
min,468,0.029511308648375822,0.010132473073846383
yoga,419,0.03053217460526101,0.011864277078366816
stretch,225,0.02892214938855323,0.008647934992719094
morning,193,0.03146719811694452,0.008100896973136953
30,165,0.028615417920983786,0.010440575269092547
body,158,0.028711133454359206,0.009929444688504697
10,149,0.030694321803541584,0.007983182466168413
day,146,0.0358788695029542,0.009764772216634686
flow,133,0.032613672352585873,0.012495624370708315
yin,106,0.02603529353463759,0.009286881358467192
challenge,101,0.03766913750905901,0.010851744921430926
beginner,93,0.024053424813218073,0.007998476775751585
15,86,0.03236700432008051,0.009930690473317952
flexibility,70,0.02435839353000899,0.007960925798631379
vinyasa,60,0.027752041010784045,0.01038386652491579
flexible,60,0.04119066793969073,0.006887887256907541
intermediate,50,0.030336625561505133,0.01097786601606722
prop,47,0.029231996967625597,0.008724383444547028
strength,47,0.02550050435251373,0.010499760454899166
hip,46,0.02605940670225097,0.009761395893373912
20,46,0.03417119275090605,0.01349878739175853
hour,42,0.022323707561090905,0.008843192790725395
class,41,0.02244392183275812,0.009357286971920795
affirmation,40,0.03576024749983241,0.011778715651543205
mind,34,0.04446172540429824,0.008159859106317457
pose,32,0.025012848005890244,0.008474824544043422
evening,32,0.032042867676064,0.007740929837911991
deep,32,0.025486825783143124,0.010416258667916695
meditation,30,0.03382203466016638,0.013421477393170733
45,27,0.024085841117371058,0.006619830643258508
workout,24,0.022026167172815313,0.006773180080838717
chakra,24,0.03113914996544165,0.010718549717232531
bedtime,24,0.026074829717955644,0.007131752607617078
balance,24,0.025425382297536787,0.009900353303470553
core,23,0.024139280368400063,0.008052281296331782
new,21,0.03227917970669443,0.0185626116669509
slow,21,0.03135622698269259,0.01104832464597668
short,21,0.03483564407098834,0.009856574973906542
energy,20,0.027909171529846965,0.008066894916966091
gentle,20,0.026896098055102357,0.008799525706968708
tutorial,19,0.027088082849764956,0.010177247944874604
upper,19,0.029235215662585586,0.009366011675989126
practice,19,0.03368136998822928,0.01067559580683544
lower,18,0.027864558052226557,0.01044417720951556
shoulder,17,0.023171920999505248,0.012062049353929965
sleep,17,0.025403113104890438,0.009042797266617796
power,17,0.028448215867555676,0.010171178545797282
wake,16,0.026197522414898557,0.003140381353986866
relief,16,0.02279380883497597,0.004659915708221343
hamstring,15,0.02284037698642687,0.009014763722300331
kassandra,15,0.030852766037301447,0.019246625741570423
level,14,0.031045269413942183,0.011381709137512805
element,14,0.038151621160868614,0.010816089430995005
minimal,14,0.0351954459860596,0.010308969634566977
cue,14,0.0351954459860596,0.010308969634566977
opening,14,0.02548991596005919,0.00886962657757113
chat,13,0.044518723942568846,0.011098765184912375
release,12,0.03233769626694116,0.010171485073182607
bed,12,0.032691822405434647,0.005629202374349838
minute,12,0.02436426177457976,0.011513990497176834
pain,12,0.02192411544450719,0.005193189004028219
purpose,12,0.027759305619890543,0.013513854592755678
heart,12,0.033314161378723346,0.008928014061802271
