channelTitle,videoId,videoTitle,yogaSubject,YogaChallenge,release_date,release_time,duration,viewCount,likeCount,commentCount,defaultLAudioLanguage,videoCategoryLabel
Yoga with Kassandra,6INXj5B5uqE,"15 min Morning Yoga Flow - All Levels, No Props",Morning Yoga,FALSE,2024-03-11,10:15:00,17:08,72861,4585,282,en,Howto & Style
Yoga with Kassandra,I9YJA0zL4yg,"25 min Earth Element Yoga - Grounding, Strength & Stability",Zodiac yoga,FALSE,2024-03-04,11:15:01,25:23,69360,4239,266,en,Howto & Style
Yoga with Kassandra,XcXDqvQXgIs,"25 min Fire Element Yoga Flow - Core, Twists & Breathwork",Zodiac yoga,FALSE,2024-02-26,11:15:01,24:52,63923,3142,206,en,Howto & Style
Yoga with Kassandra,C2RAjUEAoLI,10 min Gentle Morning Yoga for Beginners (NO PROPS),Morning Yoga,FALSE,2024-02-19,11:15:00,11:18,161923,6662,180,en,Howto & Style
Yoga with Kassandra,bN5l0JJTOLw,20 min Intermediate Yoga Flow - Minimal Cues Silent Yoga,Intermediate Yoga,FALSE,2024-02-12,11:15:04,21:20,72164,4237,279,en,Howto & Style
Yoga with Kassandra,a4gJW8fdpNI,20 min Morning Yoga - Balance & Lower Body,Morning Yoga,FALSE,2024-02-05,11:15:00,21:34,120607,5411,391,en,Howto & Style
Yoga with Kassandra,J8vj0H0L2Uw,"50 min Yin Yoga for Self-Care - Stretch, Restore & Relax",Yin Yoga,FALSE,2024-01-29,11:15:01,50:12,112195,4313,206,en,Howto & Style
Yoga with Kassandra,JHzxyyOxW5s,30 min Intermediate Vinyasa Flow - SPINAL TWISTS,Intermediate Yoga,FALSE,2024-01-22,11:15:00,34:28,92478,4977,345,en,Howto & Style
Yoga with Kassandra,FaNsReCkNB0,30 min Vinyasa Flow Yoga - SIDE BODY STRENGTH & STRETCH,Vinyasa Flow Yoga,FALSE,2024-01-15,11:15:01,32:02,72051,4017,280,en,Howto & Style
Yoga with Kassandra,0R6fTyNvgTg,30 min Yoga for Flexibility & Relaxation - Feel Good Stretch Routine,Vinyasa Flow Yoga,FALSE,2024-01-08,11:15:00,32:28,240399,9618,527,en,Howto & Style
Yoga with Kassandra,MJg-bJyeCPY,10 min Morning Yoga Stretch - The BEST Way to Start Your Day!,Morning Yoga,TRUE,2024-01-01,11:15:02,13:03,379054,12956,536,en,Howto & Style
Yoga with Kassandra,9roXAjD-qgg,Happy holidays! 🌟 An informal vlog...,Other,TRUE,2023-12-27,14:12:45,09:18,42523,3064,469,en,Howto & Style
Yoga with Kassandra,VmMnYuiP1FE,"1 hour Yin Yoga MELT & STRETCH - Hips, Thighs, Hamstrings",Yin Yoga,FALSE,2023-12-18,11:15:01,54:01,107698,3810,256,en,Howto & Style
Yoga with Kassandra,RPF7iw3AYDo,10 min Morning Yoga - ACTIVATING Full Body Flow,Morning Yoga,FALSE,2023-12-11,11:15:01,11:43,544137,11620,435,en,Howto & Style
Yoga with Kassandra,AOPU6oDaufo,"20 min Pisces Yoga Flow - Empathy, Imagination & Spiritual Connection",Zodiac yoga,FALSE,2023-12-04,11:15:00,20:47,70338,3760,246,en,Howto & Style
Yoga with Kassandra,YrEg1XIPGnE,15 min Morning Yoga Slow Stretch - WITH BLOCKS,Morning Yoga,FALSE,2023-11-06,11:15:02,16:15,172323,5718,286,en,Howto & Style
Yoga with Kassandra,ju-WvqErAVg,30 min Aquarius Yoga Flow - VISIONARY POWER,Zodiac yoga,FALSE,2023-10-30,10:15:04,26:53,92664,4001,271,en,Howto & Style
Yoga with Kassandra,93z3NDIiU2E,30 min Core Strength Yoga 🔥 SPICY CORE,Vinyasa Flow Yoga,FALSE,2023-10-23,10:15:00,30:40,178586,5796,284,en,Howto & Style
Yoga with Kassandra,S1q56SAxjLo,"20 min Capricorn Yoga - Commitment, Consistency & Purpose",Zodiac yoga,FALSE,2023-10-16,10:15:01,23:20,73444,4268,297,en,Howto & Style
Yoga with Kassandra,TIROpfbEqXw,20 min Morning Yoga - HIPS & TWISTS - No Props Yoga Flow,Morning Yoga,FALSE,2023-10-09,10:15:03,25:45,326799,10328,494,en,Howto & Style
Yoga with Kassandra,tKu2tN39UU0,"20 min Sagittarius Yoga - Wisdom, Exploration & Expansion",Zodiac yoga,FALSE,2023-10-02,10:15:05,23:29,77696,4196,327,en,Howto & Style
Yoga with Kassandra,gYufXtLRyt4,45 min Upper Body Yin Yoga - (BACK AND SHOULDERS STRETCH),Yin Yoga,FALSE,2023-09-25,10:15:03,45:25,147685,4794,256,en,Howto & Style
Yoga with Kassandra,lBYbeDx-jiw,5 Minute Morning Yoga - Daily Stretching Routine,Morning Yoga,FALSE,2023-09-20,10:15:02,05:49,178247,4668,163,en,Howto & Style
Yoga with Kassandra,oIRXGQC8G6w,"30 min Scorpio Yin Yoga - Intuition, Shadow Work & Transformation",Yin Yoga,FALSE,2023-09-18,10:15:03,32:47,100627,3758,289,en,Howto & Style
Yoga with Kassandra,14lG4I7eCQw,20 min Intermediate Yoga Flow - Yoga with Pigs Fundraiser,Intermediate Yoga,FALSE,2023-09-11,10:15:00,26:25,82250,4625,232,en,Howto & Style
Yoga with Kassandra,KL7H9R0i2n8,3 min Neck & Shoulder Yoga Release (NECK & SHOULDER STRETCHES),Vinyasa Flow Yoga,FALSE,2023-09-06,10:15:01,03:43,133789,3252,88,en,Howto & Style
Yoga with Kassandra,P0YosDn-ExM,15 min Chair Yoga Class for Seniors & Beginners,Beginner Yoga,FALSE,2023-09-04,10:15:02,14:41,138536,1900,168,en,Howto & Style
Yoga with Kassandra,-LMk9G0tzxA,"30 min Libra Yoga Flow - Harmony, Balance & Beauty",Zodiac yoga,FALSE,2023-08-28,10:15:00,33:02,102801,4593,323,en,Howto & Style
Yoga with Kassandra,r3MuTVcPElU,30 min Peaceful Slow Yoga - Minimal Cues & Lots of Silence,Vinyasa Flow Yoga,FALSE,2023-08-21,10:15:05,27:03,174297,6916,817,en,Howto & Style
Yoga with Kassandra,3HuwnAKdUUU,10 min Morning Yoga - Gentle Beginner Yoga Stretch (NO PROPS),Morning Yoga,FALSE,2023-08-14,10:15:00,12:03,569071,14862,525,en,Howto & Style
Yoga with Kassandra,CFGf5PM6uug,30 min Virgo Yoga Flow - Create ORDER Out of CHAOS,Zodiac yoga,FALSE,2023-08-07,10:15:02,32:32,123115,5174,718,en,Howto & Style
Yoga with Kassandra,6WwXZfySgLg,20 min Morning Yoga Workout - Energy Boosting Yoga Flow,Morning Yoga,FALSE,2023-07-31,10:00:08,20:38,305797,10083,704,en,Howto & Style
Yoga with Kassandra,IlplXfNE45U,20 min Neck & Shoulder Yoga Release (NECK & SHOULDER STRETCHES),Vinyasa Flow Yoga,FALSE,2023-07-24,10:15:00,23:33,363074,10837,521,en,Howto & Style
Yoga with Kassandra,SOrcjzPcTZI,Headstand Tutorial - Inversions for Beginners (HOW TO DO A HEADSTAND),Beginner Yoga,FALSE,2023-07-17,10:15:02,14:21,71651,2224,96,en,Howto & Style
Yoga with Kassandra,HvDEJxpcoWw,20 min Leo Yoga Flow - Be Unapologetically YOU!,Zodiac yoga,FALSE,2023-07-10,10:15:00,21:35,107052,5579,383,en,Howto & Style
Yoga with Kassandra,dXS5qzDNuTU,10 min Morning Yoga Flow - Sweet & Gentle Morning Yoga Routine,Morning Yoga,FALSE,2023-07-03,10:15:01,11:09,350977,10747,332,en,Howto & Style
Yoga with Kassandra,sOoC0Vh_-iE,Riding Vlog - First Time Schooling & Showing with Java,Other,FALSE,2023-06-29,10:15:02,20:48,20926,659,82,en,Howto & Style
